path,source_line,source_type,exists,status
README.md,11,backtick,1,OK
data/requirements.csv,12,backtick,1,OK
data/scenarios.csv,12,backtick,1,OK
matlab/run_all.m,13,backtick,1,OK
models/urban_ev_bbw_warning_logic_final_presentation.slx,14,backtick,1,OK
models/urban_ev_bbw_warning_logic_test_validation.slx,15,backtick,1,OK
results/simulink_test_validation_results.csv,16,backtick,1,OK
results/simulink_requirement_test_traceability.csv,17,backtick,1,OK
UrbanEV_BBW_All_Scenarios_Test_Manager_v2.mldatx,18,backtick,1,OK
docs/22_alignment_with_course_mandatory_contents.md,19,backtick,1,OK
docs/25_final_presentation_slide_plan.md,20,backtick,1,OK
docs/26_final_presentation_speaker_script.md,20,backtick,1,OK
figures/vehicle_concept_comparison.png,272,markdown_link,1,OK
figures/scenario_verification_summary.png,276,markdown_link,1,OK
figures/warning_state_machine.png,280,markdown_link,1,OK
figures/rflp_digital_thread.png,284,markdown_link,1,OK
docs/02_black_box_analysis.md,413,backtick,1,OK
docs/03_requirements_quality_review.md,414,backtick,1,OK
docs/04_concept_generation.md,415,backtick,1,OK
docs/05_concept_screening.md,416,backtick,1,OK
docs/06_verification_plan.md,417,backtick,1,OK
docs/07_traceability_links.md,418,backtick,1,OK
docs/08_assumptions_and_limitations.md,419,backtick,1,OK
docs/09_scenario_catalog.md,420,backtick,1,OK
docs/10_engineering_decision_log.md,421,backtick,1,OK
docs/11_simple_risk_register.md,422,backtick,1,OK
docs/12_verification_coverage.md,423,backtick,1,OK
docs/13_future_work_and_internship_extension.md,424,backtick,1,OK
docs/14_demo_guide.md,425,backtick,1,OK
data/stakeholder_needs.csv,431,backtick,1,OK
data/interfaces.csv,432,backtick,1,OK
data/concept_screening.csv,433,backtick,1,OK
data/functions.csv,434,backtick,1,OK
data/logical_blocks.csv,435,backtick,1,OK
data/physical_components.csv,436,backtick,1,OK
data/function_logical_allocation.csv,437,backtick,1,OK
data/logical_physical_allocation.csv,438,backtick,1,OK
data/verification_plan.csv,439,backtick,1,OK
data/traceability_links.csv,440,backtick,1,OK
docs/15_operational_design_domain.md,491,backtick,1,OK
data/odd_definition.csv,491,backtick,1,OK
docs/16_scenario_taxonomy.md,492,backtick,1,OK
matlab/generate_parameterized_scenarios.m,492,backtick,1,OK
docs/17_stpa_lite_safety_analysis.md,493,backtick,1,OK
data/stpa_hazards.csv,493,backtick,1,OK
data/unsafe_control_actions.csv,493,backtick,1,OK
data/safety_constraints.csv,493,backtick,1,OK
docs/20_parameterized_scenario_testing.md,494,backtick,1,OK
matlab/scenario_batch_verification.m,494,backtick,1,OK
docs/18_robustness_and_sensitivity_analysis.md,495,backtick,1,OK
matlab/robustness_monte_carlo_analysis.m,495,backtick,1,OK
