file_path,exists
README.md,1
data/requirements.csv,1
data/scenarios.csv,1
results/traceability_matrix.csv,1
results/simulink_test_validation_results.csv,1
results/simulink_requirement_test_traceability.csv,1
figures/simulink_presentation_model.png,1
models/urban_ev_bbw_warning_logic_final_presentation.slx,1
models/urban_ev_bbw_warning_logic_test_validation.slx,1
UrbanEV_BBW_Simulink_Test_Manager.mldatx,1
UrbanEV_BBW_All_Scenarios_Test_Manager_v2.mldatx,1
docs/15_simulink_verification_model.md,1
docs/16_simulink_testing_validation.md,1
docs/17_simulink_requirement_test_traceability.md,1
docs/18_before_after_simulink_testing_phase.md,1
docs/19_simulink_test_manager_result.md,1
docs/20_simulink_test_manager_all_scenarios.md,1
docs/21_requirements_not_fully_tested_justification.md,1
docs/22_alignment_with_course_mandatory_contents.md,1
docs/23_final_presentation_narrative.md,1
docs/24_final_submission_checklist.md,1
docs/25_final_presentation_slide_plan.md,1
docs/26_final_presentation_speaker_script.md,1
docs/27_three_minute_presentation_summary.md,1
docs/28_thirty_second_elevator_pitch.md,1
docs/29_final_presentation_q_and_a.md,1
